amplitude,electrode,suj,peaks,signal_type
0.0166502284497752,p01_A_3_4,p01,first_peak,HFa
0.0153055750669409,p01_A_4_5,p01,first_peak,HFa
0.0169549126797362,p01_A_9_10,p01,first_peak,HFa
0.0185818991406411,p01_A_10_11,p01,first_peak,HFa
0.0144396512082425,p01_B_1_2,p01,first_peak,HFa
0.0161941880964121,p01_B_2_3,p01,first_peak,HFa
0.0158863415618507,p01_B_3_4,p01,first_peak,HFa
0.0168711317165172,p01_B_4_5,p01,first_peak,HFa
0.0139092285479298,p01_B_5_6,p01,first_peak,HFa
0.016475842804082,p01_GPH_7_8,p01,first_peak,HFa
0.0236596673489024,p01_H_2_3,p01,first_peak,HFa
0.0150708365430151,p01_H_8_9,p01,first_peak,HFa
0.0230205814336591,p01_H_9_10,p01,first_peak,HFa
0.0137201007958183,p01_H_10_11,p01,first_peak,HFa
0.013110311123398,p01_H_11_12,p01,first_peak,HFa
0.0229954579183674,p01_H_12_13,p01,first_peak,HFa
0.0131057706754347,p01_H_13_14,p01,first_peak,HFa
0.0187117899906412,p01_OF_6_7,p01,first_peak,HFa
0.0138805774356511,p01_T_1_2,p01,first_peak,HFa
0.0173877494852758,p01_T_2_3,p01,first_peak,HFa
0.0157983436664654,p01_T_3_4,p01,first_peak,HFa
0.0138345702569845,p01_T_4_5,p01,first_peak,HFa
0.0172930732688906,p01_T_5_6,p01,first_peak,HFa
0.017034685675173,p01_T_6_7,p01,first_peak,HFa
0.0149966765578111,p01_T_7_8,p01,first_peak,HFa
0.0127855748118943,p01_TB_3_4,p01,first_peak,HFa
0.0158301851623662,p01_TB_4_5,p01,first_peak,HFa
0.0114019696835948,p01_TB_5_6,p01,first_peak,HFa
0.0166312664160562,p01_TB_11_12,p01,first_peak,HFa
0.0271908657211071,p02_H_5_6,p02,first_peak,HFa
0.0249227255718609,p02_H_6_7,p02,first_peak,HFa
0.0238658977837244,p02_H_7_8,p02,first_peak,HFa
0.034460874132104,p02_H_8_9,p02,first_peak,HFa
0.0330839346938916,p02_H_9_10,p02,first_peak,HFa
0.0403212438200707,p02_H_10_11,p02,first_peak,HFa
0.0162889698165519,p02_H_11_12,p02,first_peak,HFa
0.0179011454318703,p02_H_12_13,p02,first_peak,HFa
0.0147890356301799,p02_H_13_14,p02,first_peak,HFa
0.0124716307992127,p02_H_14_15,p02,first_peak,HFa
0.0271888213647622,p02_H'_5_6,p02,first_peak,HFa
0.0316988407938872,p02_H'_6_7,p02,first_peak,HFa
0.019927311439499,p02_H'_7_8,p02,first_peak,HFa
0.0228117896617801,p02_H'_8_9,p02,first_peak,HFa
0.0277768004460886,p02_H'_9_10,p02,first_peak,HFa
0.0245346783548178,p02_H'_10_11,p02,first_peak,HFa
0.0244651222537287,p02_H'_11_12,p02,first_peak,HFa
0.0285929672488223,p02_H'_12_13,p02,first_peak,HFa
0.0187887203530138,p02_Im'_5_6,p02,first_peak,HFa
0.0146021808232014,p02_Im'_6_7,p02,first_peak,HFa
0.0147874495802689,p02_Im'_7_8,p02,first_peak,HFa
0.0150062010405238,p02_Ip_1_2,p02,first_peak,HFa
0.0148352717779066,p02_Ip'_7_8,p02,first_peak,HFa
0.0148734379544581,p02_OF_12_13,p02,first_peak,HFa
0.0169852890647914,p03_A'_1_2,p03,first_peak,HFa
0.0128582323874317,p03_A'_2_3,p03,first_peak,HFa
0.0134687505569408,p03_A'_3_4,p03,first_peak,HFa
0.0166532606668469,p03_A'_11_12,p03,first_peak,HFa
0.015308659929819,p03_A'_12_13,p03,first_peak,HFa
0.0170002970749717,p03_A'_13_14,p03,first_peak,HFa
0.0156158483173265,p03_B'_1_2,p03,first_peak,HFa
0.0154042790630093,p03_B'_2_3,p03,first_peak,HFa
0.014219293237917,p03_B'_3_4,p03,first_peak,HFa
0.0143756955533803,p03_B'_8_9,p03,first_peak,HFa
0.0191125502870837,p03_B'_11_12,p03,first_peak,HFa
0.0189342721621375,p03_B'_12_13,p03,first_peak,HFa
0.0167725811087676,p03_C'_1_2,p03,first_peak,HFa
0.0428213443174572,p03_H_6_7,p03,first_peak,HFa
0.0235936146268909,p03_H'_6_7,p03,first_peak,HFa
0.0201870859399005,p03_H'_7_8,p03,first_peak,HFa
0.014220318390437,p03_H'_8_9,p03,first_peak,HFa
0.0189493431937782,p03_H'_9_10,p03,first_peak,HFa
0.0200018035058109,p03_H'_10_11,p03,first_peak,HFa
0.0121520677043828,p03_Ia'_3_4,p03,first_peak,HFa
0.0161932602686401,p03_Ia'_4_5,p03,first_peak,HFa
0.0178944419588492,p03_OF'_5_6,p03,first_peak,HFa
0.0170290509551381,p03_OF'_10_11,p03,first_peak,HFa
0.0155697883475092,p03_OF'_11_12,p03,first_peak,HFa
0.0155709373098072,p03_OP'_4_5,p03,first_peak,HFa
0.0209706963947101,p03_OP'_6_7,p03,first_peak,HFa
0.0168947137092481,p03_T'_7_8,p03,first_peak,HFa
0.0141651444101148,p03_TB_10_11,p03,first_peak,HFa
0.0157250827019127,p03_TB'_6_7,p03,first_peak,HFa
0.0159424125291685,p03_TB'_7_8,p03,first_peak,HFa
0.0149428918597034,p03_TB'_8_9,p03,first_peak,HFa
0.0148995000564262,p03_TB'_9_10,p03,first_peak,HFa
0.0144079043406192,p03_TB'_10_11,p03,first_peak,HFa
0.0155163253001783,p03_TP'_2_3,p03,first_peak,HFa
0.0215395821563289,p03_TP'_3_4,p03,first_peak,HFa
0.0168420231169958,p03_TP'_7_8,p03,first_peak,HFa
0.0194497257898534,p03_TP'_8_9,p03,first_peak,HFa
0.0141717089219591,p04_A'_7_8,p04,first_peak,HFa
0.0153083845886966,p04_A'_8_9,p04,first_peak,HFa
0.0160162857150133,p04_A'_9_10,p04,first_peak,HFa
0.0148415625821666,p04_A'_10_11,p04,first_peak,HFa
