env_idx,final_point,sfreq,stim_duration,stim_names,suj,id,phon,sti,nb_phon,nb_syll,syll*phon,all_id
241,654,256,2.44,9_Hz_low_84652,s3,9,l,84652,22,11,4.5,91
141,895,256,3.33,6_Hz_mid_119428,s3,6,m,119428,25,10,2.4000000000000004,62
115,810,256,3.0,6_Hz_low_179789,s3,6,l,179789,18,9,3.0,61
4,1621,256,6.0,3_Hz_low_135844,s3,3,l,135844,18,9,1.5,31
301,483,256,1.78,9_Hz_hig_297036,s3,9,h,297036,24,8,3.0,93
68,1451,256,5.33,3_Hz_mid_83018,s3,3,m,83018,20,8,1.2000000000000002,32
61,1792,256,6.67,3_Hz_mid_36255,s3,3,m,36255,25,10,1.2000000000000002,32
12,1280,256,4.67,3_Hz_low_186532,s3,3,l,186532,14,7,1.5,31
229,597,256,2.22,9_Hz_low_236202,s3,9,l,236202,20,10,4.5,91
22,1622,256,6.0,3_Hz_low_266112,s3,3,l,266112,18,9,1.5,31
127,811,256,3.0,6_Hz_low_266112,s3,6,l,266112,18,9,3.0,61
142,726,256,2.67,6_Hz_mid_12079,s3,6,m,12079,20,8,2.4000000000000004,62
15,1963,256,7.33,3_Hz_low_210470,s3,3,l,210470,22,11,1.5,31
165,726,256,2.67,6_Hz_mid_292206,s3,6,m,292206,20,8,2.4000000000000004,62
47,1451,256,5.33,3_Hz_mid_190734,s3,3,m,190734,20,8,1.2000000000000002,32
113,725,256,2.67,6_Hz_low_17029,s3,6,l,17029,16,8,3.0,61
74,1451,256,5.33,3_Hz_hig_127372,s3,3,h,127372,24,8,1.0,33
92,1451,256,5.33,3_Hz_hig_33633,s3,3,h,33633,24,8,1.0,33
234,483,256,1.78,9_Hz_low_279880,s3,9,l,279880,16,8,4.5,91
153,726,256,2.67,6_Hz_mid_206184,s3,6,m,206184,20,8,2.4000000000000004,62
125,811,256,3.0,6_Hz_low_241579,s3,6,l,241579,18,9,3.0,61
51,1451,256,5.33,3_Hz_mid_227135,s3,3,m,227135,20,8,1.2000000000000002,32
111,896,256,3.33,6_Hz_low_157414,s3,6,l,157414,20,10,3.0,61
166,896,256,3.33,6_Hz_mid_36255,s3,6,m,36255,25,10,2.4000000000000004,62
274,484,256,1.78,9_Hz_mid_49814,s3,9,m,49814,20,8,3.6,92
263,484,256,1.78,9_Hz_mid_259112,s3,9,m,259112,20,8,3.6,92
132,810,256,3.0,6_Hz_low_294118,s3,6,l,294118,18,9,3.0,61
41,1450,256,5.33,3_Hz_mid_160597,s3,3,m,160597,20,8,1.2000000000000002,32
185,640,256,2.33,6_Hz_hig_170578,s3,6,h,170578,21,7,2.0,63
193,811,256,3.0,6_Hz_hig_269897,s3,6,h,269897,27,9,2.0,63
167,725,256,2.67,6_Hz_mid_43197,s3,6,m,43197,20,8,2.4000000000000004,62
131,726,256,2.67,6_Hz_low_287831,s3,6,l,287831,16,8,3.0,61
