conditions,decoding accuracy (%)
syllabic time scale,1.0
syllabic time scale,0.99
syllabic time scale,1.0
syllabic time scale,1.0
syllabic time scale,1.0
syllabic time scale,1.0
syllabic time scale,1.0
syllabic time scale,1.0
syllabic time scale,0.97
syllabic time scale,1.0
phonemic time scale,0.4158333333333334
phonemic time scale,0.46499999999999997
phonemic time scale,0.40499999999999997
phonemic time scale,0.49375
phonemic time scale,0.5041666666666667
phonemic time scale,0.44458333333333333
phonemic time scale,0.4745833333333333
phonemic time scale,0.4433333333333333
phonemic time scale,0.575
phonemic time scale,0.46499999999999997
