conditions,decoding accuracy (%)
syllabic time scale,1.0
syllabic time scale,1.0
syllabic time scale,1.0
syllabic time scale,1.0
syllabic time scale,1.0
syllabic time scale,1.0
syllabic time scale,1.0
syllabic time scale,1.0
syllabic time scale,0.97
syllabic time scale,1.0
phonemic time scale,0.5454166666666667
phonemic time scale,0.4945833333333333
phonemic time scale,0.48500000000000004
phonemic time scale,0.4445833333333333
phonemic time scale,0.5233333333333333
phonemic time scale,0.5650000000000001
phonemic time scale,0.5041666666666667
phonemic time scale,0.5754166666666667
phonemic time scale,0.445
phonemic time scale,0.5058333333333334
