conditions,decoding accuracy (%)
syllabic time scale,1.0
syllabic time scale,1.0
syllabic time scale,1.0
syllabic time scale,1.0
syllabic time scale,1.0
syllabic time scale,0.99
syllabic time scale,1.0
syllabic time scale,1.0
syllabic time scale,0.97
syllabic time scale,1.0
phonemic time scale,0.5866666666666667
phonemic time scale,0.5870833333333334
phonemic time scale,0.5254166666666666
phonemic time scale,0.6258333333333334
phonemic time scale,0.5258333333333334
phonemic time scale,0.535
phonemic time scale,0.49333333333333335
phonemic time scale,0.5245833333333334
phonemic time scale,0.5758333333333334
phonemic time scale,0.55625
