real,pred,conds,peaks
3.2,3.0,syll,first
3.4000000000000004,3.0,syll,first
3.2,3.0,syll,first
6.4,6.0,syll,first
6.6000000000000005,6.0,syll,first
6.4,6.0,syll,first
9.6,9.0,syll,first
9.8,9.0,syll,first
9.8,9.0,syll,first
3.2,6.0,phon,first
3.4000000000000004,7.5,phon,first
3.2,9.0,phon,first
6.4,12.0,phon,first
6.6000000000000005,15.0,phon,first
6.4,18.0,phon,first
9.6,18.0,phon,first
9.8,22.5,phon,first
9.8,27.0,phon,first
3.0,3.0,fake,first
3.0,3.0,fake,first
3.0,3.0,fake,first
6.0,6.0,fake,first
6.0,6.0,fake,first
6.0,6.0,fake,first
9.0,9.0,fake,first
9.0,9.0,fake,first
9.0,9.0,fake,first
46.800000000000004,3.0,syll,second
49.00000000000001,3.0,syll,second
47.800000000000004,3.0,syll,second
66.0,6.0,syll,second
9.8,6.0,syll,second
70.8,6.0,syll,second
73.6,9.0,syll,second
73.6,9.0,syll,second
79.8,9.0,syll,second
46.800000000000004,6.0,phon,second
49.00000000000001,7.5,phon,second
47.800000000000004,9.0,phon,second
66.0,12.0,phon,second
9.8,15.0,phon,second
70.8,18.0,phon,second
73.6,18.0,phon,second
73.6,22.5,phon,second
79.8,27.0,phon,second
6.0,6.0,fake,second
7.5,7.5,fake,second
9.0,9.0,fake,second
12.0,12.0,fake,second
15.0,15.0,fake,second
18.0,18.0,fake,second
18.0,18.0,fake,second
22.5,22.5,fake,second
27.0,27.0,fake,second
