real,pred,conds,peaks
3.0000000000000004,3.0,syll,first
3.0000000000000004,3.0,syll,first
3.2,3.0,syll,first
6.000000000000001,6.0,syll,first
6.000000000000001,6.0,syll,first
6.2,6.0,syll,first
9.0,9.0,syll,first
9.0,9.0,syll,first
9.2,9.0,syll,first
3.0000000000000004,6.0,phon,first
3.0000000000000004,7.5,phon,first
3.2,9.0,phon,first
6.000000000000001,12.0,phon,first
6.000000000000001,15.0,phon,first
6.2,18.0,phon,first
9.0,18.0,phon,first
9.0,22.5,phon,first
9.2,27.0,phon,first
3.0,3.0,fake,first
3.0,3.0,fake,first
3.0,3.0,fake,first
6.0,6.0,fake,first
6.0,6.0,fake,first
6.0,6.0,fake,first
9.0,9.0,fake,first
9.0,9.0,fake,first
9.0,9.0,fake,first
7.000000000000001,3.0,syll,second
8.4,3.0,syll,second
10.4,3.0,syll,second
14.0,6.0,syll,second
16.8,6.0,syll,second
19.400000000000002,6.0,syll,second
20.6,9.0,syll,second
23.8,9.0,syll,second
23.8,9.0,syll,second
7.000000000000001,6.0,phon,second
8.4,7.5,phon,second
10.4,9.0,phon,second
14.0,12.0,phon,second
16.8,15.0,phon,second
19.400000000000002,18.0,phon,second
20.6,18.0,phon,second
23.8,22.5,phon,second
23.8,27.0,phon,second
6.0,6.0,fake,second
7.5,7.5,fake,second
9.0,9.0,fake,second
12.0,12.0,fake,second
15.0,15.0,fake,second
18.0,18.0,fake,second
18.0,18.0,fake,second
22.5,22.5,fake,second
27.0,27.0,fake,second
