real,pred,conds,peaks
3.4000000000000004,3.0,syll,first
3.2,3.0,syll,first
3.2,3.0,syll,first
2.6000000000000005,6.0,syll,first
2.6000000000000005,6.0,syll,first
6.4,6.0,syll,first
2.4000000000000004,9.0,syll,first
2.8000000000000003,9.0,syll,first
9.4,9.0,syll,first
3.4000000000000004,6.0,phon,first
3.2,7.5,phon,first
3.2,9.0,phon,first
2.6000000000000005,12.0,phon,first
2.6000000000000005,15.0,phon,first
6.4,18.0,phon,first
2.4000000000000004,18.0,phon,first
2.8000000000000003,22.5,phon,first
9.4,27.0,phon,first
3.0,3.0,fake,first
3.0,3.0,fake,first
3.0,3.0,fake,first
6.0,6.0,fake,first
6.0,6.0,fake,first
6.0,6.0,fake,first
9.0,9.0,fake,first
9.0,9.0,fake,first
9.0,9.0,fake,first
25.6,3.0,syll,second
25.6,3.0,syll,second
27.0,3.0,syll,second
12.8,6.0,syll,second
27.6,6.0,syll,second
28.400000000000002,6.0,syll,second
19.0,9.0,syll,second
29.400000000000002,9.0,syll,second
25.6,9.0,syll,second
25.6,6.0,phon,second
25.6,7.5,phon,second
27.0,9.0,phon,second
12.8,12.0,phon,second
27.6,15.0,phon,second
28.400000000000002,18.0,phon,second
19.0,18.0,phon,second
29.400000000000002,22.5,phon,second
25.6,27.0,phon,second
6.0,6.0,fake,second
7.5,7.5,fake,second
9.0,9.0,fake,second
12.0,12.0,fake,second
15.0,15.0,fake,second
18.0,18.0,fake,second
18.0,18.0,fake,second
22.5,22.5,fake,second
27.0,27.0,fake,second
